CountyFIPS,PhotoCounts,,CountyFIPS,Contributors
13027,178,,13027,16
42063,507,,42063,81
28141,83,,28141,37
28029,34,,28029,14
42103,1717,,42103,322
13187,584,,13187,143
42073,919,,42073,108
50001,993,,50001,253
42047,578,,42047,77
28073,142,,28073,25
39121,61,,39121,20
28121,209,,28121,68
28131,60,,28131,14
28001,445,,28001,131
25017,17753,,25017,2315
42009,1090,,42009,155
42087,295,,42087,54
42041,1031,,42041,224
50009,353,,50009,76
42017,3958,,42017,557
28007,36,,28007,7
28085,14,,28085,11
42081,1230,,42081,199
42011,3201,,42011,354
25025,27172,,25025,3848
25005,2707,,25005,456
28067,42,,28067,20
42097,534,,42097,111
13165,46,,13165,12
21141,134,,21141,19
21233,38,,21233,9
13115,284,,13115,81
21187,23,,21187,11
13091,78,,13091,30
39141,258,,39141,71
21067,1930,,21067,292
42079,1727,,42079,293
42117,693,,42117,149
13081,104,,13081,24
21217,35,,21217,16
28115,237,,28115,8
28009,20,,28009,8
50007,2995,,50007,653
42075,520,,42075,123
42129,1362,,42129,248
42133,1580,,42133,260
13079,67,,13079,8
28145,32,,28145,11
13129,239,,13129,31
42119,457,,42119,86
28163,48,,28163,17
28153,6,,28153,4
28013,13,,28013,4
21121,1408,,21121,20
28077,13,,28077,5
42067,278,,42067,37
13191,810,,13191,87
25027,5709,,25027,774
28027,126,,28027,56
21021,321,,21021,38
50017,938,,50017,138
21113,163,,21113,52
42091,2849,,42091,569
42099,474,,42099,74
42115,651,,42115,110
28107,78,,28107,26
42033,578,,42033,91
50027,1973,,50027,422
42127,445,,42127,128
42057,220,,42057,66
42107,837,,42107,192
13149,77,,13149,24
28159,24,,28159,6
28035,202,,28035,57
21091,11,,21091,4
42121,521,,42121,106
42031,673,,42031,88
42083,371,,42083,81
13119,118,,13119,25
28157,90,,28157,27
28097,13,,28097,7
42123,436,,42123,90
28135,22,,28135,9
13171,65,,13171,10
13005,14,,13005,10
13309,34,,13309,9
13183,52,,13183,12
13087,116,,13087,21
13109,38,,13109,6
42113,462,,42113,75
21177,46,,21177,16
13319,86,,13319,17
13047,116,,13047,53
21221,448,,21221,42
42105,257,,42105,55
21081,168,,21081,17
42051,1583,,42051,321
13243,29,,13243,6
21211,117,,21211,32
13267,79,,13267,12
25011,2037,,25011,314
50019,1070,,50019,209
21055,53,,21055,13
21129,23,,21129,12
13285,183,,13285,47
13019,115,,13019,12
42059,264,,42059,42
42043,2476,,42043,498
13057,459,,13057,150
21117,668,,21117,223
28017,45,,28017,11
42035,834,,42035,110
21135,83,,21135,16
13071,226,,13071,18
13151,364,,13151,115
13157,138,,13157,36
13179,170,,13179,45
21149,19,,21149,6
28003,96,,28003,26
42021,1604,,42021,143
42095,2258,,42095,319
13209,44,,13209,11
24043,3949,,24043,540
21145,385,,21145,87
28031,44,,28031,9
21173,109,,21173,17
24045,210,,24045,66
13269,56,,13269,12
21215,23,,21215,12
42065,510,,42065,86
42131,405,,42131,78
28041,22,,28041,7
47013,175,,47013,82
24039,219,,24039,73
42077,1579,,42077,261
42089,1929,,42089,332
47089,118,,47089,41
47175,687,,47175,100
47085,146,,47085,49
47127,463,,47127,119
47181,39,,47181,15
47021,90,,47021,34
47141,216,,47141,82
47183,90,,47183,11
21209,204,,21209,47
42111,1532,,42111,284
47109,74,,47109,12
47115,396,,47115,121
47161,328,,47161,67
47173,42,,47173,16
24023,986,,24023,178
47023,43,,47023,9
47061,395,,47061,52
21151,330,,21151,97
47029,268,,47029,105
47001,279,,47001,82
47063,88,,47063,29
24035,596,,24035,187
47033,11,,47033,3
21093,390,,21093,75
47155,4044,,47155,1058
28023,49,,28023,11
24003,4534,,24003,758
21167,113,,21167,50
47071,294,,47071,63
47041,116,,47041,29
47139,577,,47139,155
47015,57,,47015,17
47133,103,,47133,30
47135,37,,47135,16
47077,126,,47077,24
47157,4715,,47157,925
47053,85,,47053,20
28069,9,,28069,6
47081,134,,47081,39
47095,90,,47095,26
24047,2279,,24047,555
47019,612,,47019,112
47059,329,,47059,70
42025,956,,42025,240
24011,290,,24011,34
24009,483,,24009,152
47129,132,,47129,40
24029,315,,24029,83
47009,1678,,47009,518
47027,61,,47027,26
47051,500,,47051,97
47107,68,,47107,30
47007,29,,47007,17
47179,578,,47179,94
47079,147,,47079,33
47137,89,,47137,29
47113,233,,47113,57
47091,162,,47091,41
47125,430,,47125,81
47185,192,,47185,53
42045,1672,,42045,335
47099,152,,47099,27
47103,125,,47103,31
47171,295,,47171,88
47073,145,,47073,39
47101,72,,47101,24
24025,2478,,24025,283
13259,187,,13259,52
13117,546,,13117,148
47043,168,,47043,34
47047,86,,47047,16
47123,451,,47123,140
47031,602,,47031,91
47039,59,,47039,12
13275,258,,13275,31
47045,70,,47045,18
42101,20226,,42101,2525
24033,3713,,24033,602
47093,1759,,47093,335
24017,1223,,24017,128
47159,235,,47159,30
47003,425,,47003,51
13321,40,,13321,12
28111,33,,28111,13
47025,115,,47025,42
42085,566,,42085,98
47153,69,,47153,25
21089,125,,21089,27
24013,1064,,24013,126
47117,123,,47117,23
24021,4458,,24021,390
47163,874,,47163,197
47121,47,,47121,25
42053,301,,42053,50
42027,1986,,42027,306
13281,396,,13281,129
13139,515,,13139,147
24027,1976,,24027,276
